疾病名,英文病名,科別,器官,簡介,症狀,預防和治療
,,,,,,
焦慮症  ,Anxiety Disorders,"身心精神科,家醫科",心理,狹義的焦慮症，亦稱為焦慮性精神官能症，這是一種具有持久性焦慮、恐懼、緊張情緒，致使人體神經活動異常，伴隨運動性不安及軀體不適等特徵的精神疾病，多發於青壯年齡，女性比男性高，臨床症狀有：無端緊張、恐慌、焦慮的念頭揮之不去、經常煩躁易怒、坐立難安、搓手踱步、胸悶、心悸、呼吸困難、四肢發抖、無力、噁心想吐、暈眩、盜汗、失眠、腹瀉、頻尿、消瘦等。而廣義的焦慮症在醫學上的界定則包含所有能引發病態性焦慮症的精神疾病，像是強迫症、恐慌症、懼曠症、社交恐懼症、創傷後壓力症候群、思覺失調症（精神分裂症）等。原本焦慮是每個人從小到大都有過的正常情緒，但一旦持續時間過長，最後演變成無根據的驚恐和慌張，莫名的、無明確對象的焦慮緊張，以及對現實產生不合理的過度警覺，就成病理性的焦慮症。治療方式會以心理認知治療為主，體諒並協助患者分析移除焦慮的來源，同時搭配服用適量的抗焦慮藥物、多補充維他命B群及鈣片，生活中多練習腹式呼吸、瑜伽等放鬆身心的運動，改善焦慮病症。,['緊張．焦慮．鑽牛角尖．不耐煩．分心．易怒．暈眩．呼吸窘迫．胸悶．心跳急促．心悸．雙手發抖．發熱．臉紅．冒冷汗．多汗．腹瀉．頻尿．反胃．失眠．體重減輕．說話結巴．口乾舌燥．鬱悶'],設法減輕心理負擔，學習正確釋放壓力的方式，如適度的出遊玩樂、與興趣相投的朋友聊天談心、工作之餘從事自己擅長的休閒活動等。
,,,,,,
憂鬱症  ,"Depression,Depressive disorder,Melancholia","身心精神科,家庭醫學科",心理,憂鬱症是一種同時涉及身體與心理的疾病，多數人偶爾會有心情不好的情況，但如果相關症狀很多，並長時間持續，造成生活上的障礙，即有可能是憂鬱症。憂鬱症的症狀包括心理及生理層面，根據美國《精神疾病診斷與統計手冊》，臨床九大症狀包括：(1)情緒低落、(2)明顯對事物失去興趣、(3)體重下降或上升、(4)嗜睡或失眠、(5)精神運動遲滯、(6)容易疲倦或失去活力、(7)無價值感或強烈罪惡感、(8)注意力不集中或猶豫不決、(9)經常想到死亡。上列症狀如同時出現5項（含）以上，並持續2周以上，即可診斷為憂鬱症。依其嚴重性與持久性可細分為輕度、中度和重度三類憂鬱症，輕度憂鬱患者的情緒與症狀通常不超過半年，且情況最輕微；中度憂鬱症病程則可能超過兩年，會影響生活品質和人際關係，但不至於影響生計的維持；最嚴重的是重度憂鬱症，患者常帶有明顯的功能障礙，成天情緒低落、退縮且無法外出、認知行動遲緩、無法正常工作與社交、嚴重自殺傾向，甚至進一步出現幻覺或妄想等其他精神疾病症狀。憂鬱症在內科門診中很常見，卻容易被當成單一器官問題來處理，因而延誤治療時間，所以如遇上述多發性的身心情況出現時，最好儘早與家庭醫師會談，接受精神科的專業治療，透過藥物、心理治療並動員社群支持網絡，排除外在壓力事件，將可望讓病情好轉。,['情緒低落．想哭．易怒．食慾反常．體重反常．性慾低．失眠．嗜睡．倦怠．四肢無力．悲觀．反應遲緩．健忘．心悸．胸悶．自殺念頭．自殘．恐慌．焦躁．注意力不集中．頭痛．胃痛．腰痛．消化不良．腹瀉．便秘'],保持充足的休息與睡眠，工作時間不要過長，生活壓力不要過大。
,,,,,,
失眠  ,Insomnia,"家醫科,身心精神科,神經科",腦部,失眠指的是一個人難以入睡或無法保持不間斷的睡眠狀態，所導致睡眠不全的症狀。臨床表現有：翻來覆去都睡不著，睡眠週期幾乎處於淺睡階段，感覺似醒似夢而無法深睡，早醒、醒來後難以再睡回去，夢多、感覺徹夜都在做夢，對外界相當敏感、易受干擾而突然中斷睡眠，以及睡醒之後仍感覺睏倦等。依發病時間的長短又可分為：短暫性失眠（一週內），可能因暫時性的事件譬如考試、出遊所引發的精神緊張、焦慮或興奮，導致失眠，當事件解除後就會恢復正常；短期性失眠（一週至一個月），持續性的壓力，例如較嚴重的家庭、工作或感情問題導致連續性的失眠，短時間內無法恢復正常；長期性失眠，狀況持續數年之久，甚至終生都有失眠問題，難以治好，也是失眠患者求診中最常見的類型。而失眠問題持續的時間愈長，愈容易誘發其他更嚴重的身心疾病，而這些身心疾病可能反過來加重失眠，惡性循環。,['難入睡．淺睡．易驚醒．多夢．早醒．疲倦．哈欠連連．食慾低落．精神渙散．頭痛．記憶力衰退．喪失身心動力．胸悶．肩頸酸痛．腹脹'],作息規律、上床起床時間都要固定，無論前一天多晚入睡，隔天都要盡量準時起床，因為日夜顛倒造成白天睡多，易使當天晚上不想睡，造成惡性循環。此外，如果晚間就容易失眠，則應盡可能不睡午覺，如此身體到了夜晚自動會變得睡意較濃。
,,,,,,
思覺失調症  ,Schizophrenia,身心精神科,腦部,"精神分裂症因長期被污名化，使許多患者不願就醫，台灣在2014年已正名為「思覺失調症」。精神分裂症是一種慢性且重大的精神疾病，與腦內功能運作失常有關，好發於青少年晚期及成年初期，臨床症狀顯現為：知覺、思維、情感、行為等多方面的功能性障礙，特別是與一般人的現實有著明顯的脫節，以幻聽最為常見，患者很清楚聽到有人在和他對話，但旁邊根本沒有其他人，或病患深受聽覺的控制，按照某個聲音去殺人或自殺等,也可能出現被害妄想，總覺得有人在某處監視他並打算加害於他，因而過度恐慌,也可能重複一些怪異的舉止，突然間表現得很退縮、不與任何人互動，某些精神分裂患者還會出現暴力的攻擊行為、無緣無故的傻笑、大哭。早期精神分裂症狀可能包含了睡眠型態的改變，如突然間變得難以入睡、多夢，或容易受驚醒等,情緒上的變化，對人際關係和周遭事物變得不理不睬，失去原本的熱情,行徑逐漸變得愈來愈難以理解、怪異、愛發愣,思考障礙，失去組織語言的能力，開始胡言亂語、言語片段等之精神障礙症狀表現，這些初期的蛛絲馬跡若可及早注意，將能盡早處治而避免疾病的惡化。",['幻覺．幻聽．妄想．胡言亂語．言語片段．疏離人群．退縮．情感冷漠．攻擊．破壞．自殘．思考障礙．注意力無法集中．睡眠障礙'],培養豁達開朗的性格，保持樂觀的態度看待人生。
,,,,,,
強迫症  ,"Obsessive Compulsive Disorder, OCD",身心精神科,心理,"強迫症指的是一種強迫性的精神官能症，又可納為廣義焦慮症的其中一種，發病患者普遍會受某種強迫思維或意念的推使，因而在生活中一再重複無意義的行為，且造成不愉快的心情，而反覆出現的儀式性動作能暫時減輕內心高度的焦慮，卻會惡性循環，到最後浪費時間的動作深深影響其學習能力、工作表現，甚至使日常生活都出問題。這是一種容易反覆發作的慢性病，多數在青少年或30歲以前發病，症狀起伏，要有長期抗戰的準備。強迫症在臨床上的症狀因人而異，大致可歸納出四個面向：強迫意念：包括聯想一連串的不幸會發生，如擔心自己染病、生命受威脅、害怕心愛的人受傷等,回憶過去無關緊要的事，檢查自身行為，再三確認對錯,對自然現象的因果進行探究，以及二元對立的概念同時出現腦海，這些聯想、追憶、疑慮、觀念等頑強的反覆出現，無法自已。強迫動作：反覆搓洗雙手或洗澡，心中擺脫不了「髒」的感覺,對自己做好的事不夠放心，而反覆檢查已上鎖的門窗、不斷核對寫好的考卷、算過的帳單,不可控制的數物堆物，一遍又一遍,以及重複某些特定儀式，如出門前固定要有一系列的事前準備與次序、洗東西要洗幾次以上才叫乾淨等等，這些動作和行為經不斷反覆後，方能稍緩內心的焦慮與不安。強迫意向：一種與實際狀況相違背的心念和衝動，多與暴力和性有關，例如縱火、攻擊他人、暴露生殖器、亂倫、手淫等莫名的衝動。強迫情緒：通常與恐懼有關，一種無法抑制的強烈情緒，害怕自己會失去、失控，進而做出傷人傷己和違法的事。",['強迫聯想．重複回憶．重複疑慮．反覆檢查．強迫洗滌．強迫計數．動作儀式化．強迫思考．思維對立化．焦慮'],學會順其自然，盡力而為，對人對事都避免鑽牛角尖。
,,,,,,
自閉症  ,Autism,"身心精神科,小兒科,復健科",腦部,自閉症屬於廣泛性發展障礙症的一種，是因腦部功能異常所致的疾病，發病成因未明，只能靠早期發現早期治療加以改善，通常在嬰幼兒時期就可看出，主要特徵為缺乏與現實環境接觸的能力及興趣，完全生活在自我想像中，語言和溝通能力也會明顯出現障礙，少部分的自閉症患者在算術或手藝創作方面具有相當卓越的智慧和潛能。臨床表現包含如下：語言障礙：語言溝通障礙是多數自閉症兒早期最重要的徵兆，他們往往語言發育遲緩，不會說話也不愛說話，對語言的感受及表達運用能力均存在某種程度的障礙，像是你我他等代名詞混淆不清、不懂得變化詞句、音調有如機械人等。隨著年齡增長也只會重複某些話，常表現出鸚鵡式仿說的情況，漸漸喪失使用語言的能力，甚至終身沉默不語，只可能在極少數的情況下使用有限語言。社交障礙：自閉症患兒無法與他人建立正常的人際關係，也無法分辨親疏，與雙親沒有正常的依戀觀，對家人和陌生人的態度都是一樣的，在同齡之間也難以建立夥伴情誼。行為障礙：自閉症患兒對一般孩童所熱衷的遊戲和玩具通常不感興趣，反之會喜歡一些非玩具的物品或遊戲，如著迷於按按鈕、開關門、注視旋轉風扇等重複性的活動，喜歡自玩自的，也可能出現用力敲打自己的頭、不停轉圈圈、用腳尖走路等怪異行徑，對於生活環境的固定性也很堅持，如果突然改變可能會大哭大鬧到無法自已，強烈呈現某方面的行為固著模式。,['冷漠．不理人．不看人．失語．仿說．不合群．行為固著．自殘．動作重覆．行為固定'],產前接受篩檢與遺傳診斷，避免胎兒出現先天性自閉症。
,,,,,,
亞斯伯格症  ,"Asperger Syndrome, AS","身心精神科,小兒科,復健科",腦部,"亞斯伯格症是自閉症的一種亞型，亦屬於廣泛性發展障礙疾病，主要的臨床特徵為：缺乏同理心、自我中心強烈,單向的社會互動、缺乏察言觀色的能力，溝通上也只講自己感興趣的話題，因此造成社交障礙,興趣局限狹隘，過度拘泥細節，對於某些主題僅以機械式的強記，如歷史故事、火車時刻表、汽車型號、地標、公車站名等，鮮少加以理解，也愛重複收集喜歡的物品,動作和姿勢笨拙而不協調。多數症狀與典型自閉症很相似，不過前者並沒有語言發展遲緩的問題，對社交也較主動與感興趣，只是往往不得要領也不知變通。部分又因其多動行為嚴重、注意力分散，常被誤認為過動症。青少年期的亞斯伯格症患者會延續大部分兒童期的症狀，由於同理心的認知能力依舊欠缺，雖習得一些新的社交技巧，但溝通上仍有障礙，他們也漸漸感到自己和他人的不同，因而出現孤僻、憂鬱或焦慮的情緒。成年期的亞斯伯格症，歷經時間的淬煉，多數症狀可趨於改善，然而就社會適應與自力更生方面，仍需一般大眾的協助與包容。",['孤僻．固執．衝動不安．忽喜忽怒．執著．自我中心．自殘．動作重覆．行為固定．興趣狹隘'],懷孕期間定時定期產檢，並按照醫師的囑咐，做好孕期的健康生活管理，留意自身安全，保持愉快心情，均衡攝取營養，好讓胎兒正常發育。
,,,,,,
恐慌症  ,Panic Disorder,身心精神科,心理,恐慌症是廣泛性焦慮症的一種典型，主要特徵為突發性的恐慌發作，事先毫無預警，症狀與自律神經失調相似，諸如胸部的悶痛、心悸、呼吸急促或窒息、頭部的暈眩、頭重腳輕、或腸胃不適、噁心想吐等，因為症狀來得很快又很嚴重，引發其莫名的極度驚嚇和恐懼，就像有災難降臨一般，感覺自己隨時可能失控、發狂或死亡。通常症狀發作之後，會在幾分鐘內昇到最高點，半小時內慢慢退去，未發作時則感覺一切正常，去醫院檢查也難發現任何異狀，所以患者一開始會先求助急診室，後輾轉至心血管、胸腔或腸胃等專科做許多精密檢查，最後才到精神科和身心科，被診斷出是恐慌症。恐慌一再發作，會使人產生一種對恐慌復發的巨大恐懼，演變成一種預期焦慮，或對恐懼的恐懼感，即便恐慌沒有發作時也會出現，例如曾在開車途中病發恐慌症的人，很可能變得害怕開車，即使路程多短都一樣。恐慌症嚴重發展下去將出現懼曠症，患者會害怕身處任何不易逃生或無法求援的地方，以致不敢一人出門、害怕搭乘各種公共運輸等，甚至併發憂鬱症、重鬱症，也可能間接造成酒癮或藥癮，嚴重影響生活品質。恐慌症經治療預後效果不錯，但一定要配合醫師的療程，若自行停藥，會很快復發。,['心跳加速．呼吸急促．害怕．焦慮．暈眩．頭痛．反胃．顫抖．冒冷汗．吞嚥困難．胸痛．胸悶．灼熱．指尖麻痺．失控'],多練習腹式呼吸法，平日可協助放鬆身心，而當恐慌發作時，也有助於緩和症狀。
,,,,,,
厭食症  ,Anorexia Nervosa,身心精神科,心理,"厭食症是一種排斥飲食的精神疾患，屬心因性，可能是因為患者對自我形象的偏差認知，或心理上有某種重大的鬱結難消，導致無法正常進食、厭食，或深陷一種節食─狂吃─嘔吐和腹瀉的惡性循環，許多患者的體重極低，BMI值小於17.5，甚至低到10以下的極端值，使健康出問題，最終可能引起腸胃代謝全面失常，身體和情緒上的失調、混亂，嚴重者足以致死。在今日瘦身風氣盛行的社會中，厭食症可說是相當常見，尤其愛漂亮、愛苗條、熱衷減肥的年輕女生，出於可能變胖的強烈恐懼，她們會嚴格執行節食計劃，克制自己想吃東西的任何渴望，甚至採取各種激烈手段，以加速食物的排泄，周而復始。患者多半還帶有抑鬱、社交疏離等心理問題，所以也有些是發生在年老喪偶、獨居的老人身上。依照飲食行為的表現，厭食症又可細分為兩類：一種是節制型，患者利用過度節食和運動的方式來控制體重,另一種則是暴食後掏空型，在大吃大喝之後，把吃進去的食物用催吐、吃瀉藥或利尿劑、浣腸劑等方式排除，與真正的暴食症不同的在於，此種厭食症的患者，在大吃大喝之際仍會留意卡路里的問題，且吃進去的量遠比暴食症患者少，而在掏空食物的行為上做得更徹底。約有半數以上的厭食症患者，都有大吃大喝後再催吐的病症。",['體重驟降．拒食．暴食．噁心．嘔吐．反胃．腹脹．疲倦．便祕．全身無力．精神抑鬱．暈眩．喘氣．心律不整．畏寒．低溫．貧血'],培養愛自己的「自信美」，不要單從他人的評價來建立自我價值感。
,,,,,,
失智症  ,Dementia,"身心精神科,神經科,家醫科,老年醫學科",腦部,"失智症是一種大腦功能漸進退化的智能障礙病症，好發於老年人，退化的速度不一定，依照病程進展可分為輕度知能障礙、輕度（初期）、中度（中期）、重度（晚期）。初期最明顯的為記憶力衰退，特別是記不住日常、最近且立即的事物，其他像是語言、算術、空間感、時間概念、抽象思考、社交能力、判斷力等也會出現障礙，產生異常行為，過去熟悉的工作無法勝任，嚴重影響日常起居，伴隨這些行為的心態很可能變得疑心病重、被害妄想、憂鬱、焦慮、容易與他人起衝突。失智症大致可分為退化性與血管性兩類。退化性包含：阿茲海默症、額顳葉型失智症、路易氏體失智症、亨廷頓氏症造成的失智。阿茲海默症屬中樞神經系統的退化，特別侵襲腦部對於記憶、認知、語言的部分，是最常見的失智症,額葉及顳葉失智症主要病症在於語言表達障礙和個性、情緒改變,路易氏體失智症則在於認知功能障礙、重複性的跌倒、出現幻覺等。而血管性失智症為腦血管疾病引起，較危險的病理發展是患者大腦可能持續萎縮，進一步引發腦部病變、二次中風、腦梗塞，致死率相當高。有時，退化性的阿茲海默症又會與血管性失智症並存發作，統稱為混合型失智症。",['記憶障礙．語言障礙．行為重複．被害心理．算術能力喪失．迷路．日夜顛倒．憂鬱．幻覺．妄想．偏執．無法自我照顧．步伐不穩．個性改變．情緒不穩'],平日應減少對腦部傷害的行為，慎防腦部外傷。
,,,,,,
妄想症  ,"Delusion Disorder, Paranoia",身心精神科,心理,妄想症是一種慢性進行、有系統、有組織的思維障礙精神疾病，排除腦外傷、生理疾病或藥物侵害等引發大腦病變所產生的精神病，其妄想內容也不像精神分裂症脫離現實，而會與日常生活的情境相關，例如被背叛、被跟蹤、被人愛慕、被感染或懷疑配偶外遇等，少數可能伴隨短暫的幻覺，嚴重者可能出現破壞、自傷、傷人、自殺、他殺的行為。當一個人堅持這種「曲解事實」的偏見與思維長達三個月以上，就診斷為妄想症，但多數患者通常不認為自己有問題、不會主動求醫。妄想症的發病年齡不限，但大多好發於中年或老年，依病人的妄想內容，大致可歸納出七種類型：●情愛妄想型，病人深信某個人正深愛著自己，對方通常是知名人士甚至遙不可及之人，有時病人會被惱羞成怒，進一步做出騷擾、跟蹤、襲擊、綁架等觸法行徑。●嫉妒妄想型，堅信伴侶對自己不忠，因而跟蹤和監視對方的一舉一動，通常是子虛烏有的事。●自大妄想型，妄想自己具有特殊的身分、地位、權力、甚至與神或名人有特殊關係，有時嚴重者還會認為真實的那位名人才是冒充他的，當面臨過大壓力時，可能做出反社會行為。●被害妄想型，是妄想症中最常見的一種類型，病人深信自己遭受各種惡意對待如被跟蹤、被迫害、受騙、被監視、被下毒等，因此變得疑神疑鬼、處處防備，甚至尋求警察的介入或採取法律行動。●身體妄想型，懷疑自己身體有毛病進而四處求醫，實際上那些疾病或問題根本不存在。●混合型，上述的妄想內容混合好幾種，沒有哪一主題比較突出，就歸為混合型。●其他，主要的妄想內容無法明確指出，或無法用上述特定的類型來界定。,['頭暈．心神不寧．被害妄想．狂熱．疑神疑鬼．失眠．憂鬱．嫉妒．惱羞成怒．跟蹤．騷擾．襲擊'],增加與家人、親友、鄰居的互動，尤其年長者，避免獨居與外界隔絕，可以多參與社區活動，減少孤寂、失落和憂鬱情緒。
,,,,,,
神經衰弱症  ,Neurasthenia,"身心精神科,神經科","腦部,神經系統",神經衰弱在生活步調快的現代社會中很常見，指的是一種大腦功能性障礙的疾病，多發生在用腦過度、工作壓力過大、生活過度緊張的人身上，因長期的情緒緊繃和精神壓力，導致腦內神經活動的機能出現失調，屬於精神官能症的一種。神經衰弱的患者，臨床症狀會出現許多近似自律神經失調的症狀，諸如不明原因的心跳加快、肌肉緊繃、肩頸僵硬等，亦包含腦部功能失調的諸多特徵，像是終日精神渙散、注意力無法集中，不僅健忘還無法思考，且易感疲憊倦怠，情緒容易激動和發怒，頭痛頭暈伴隨失眠問題。病程通常逾三個月以上都不見好轉，即便是充分的休息也一時難消疲勞感，對工作、課業及社交人際造成不少困擾。治療需要較長的時間，配合規律的生活和運動，多補充一些含鈣、鎂、維生素Ｂ群、維生素Ｃ等抗壓食物。,['精神倦怠．容易疲勞．腦力遲鈍．健忘．失眠．難入睡．多夢．易怒．躁動．缺乏耐心．頭痛．頭脹．頭暈目眩．耳鳴．肩頸僵硬．腰痠背痛．手腳痛．胸悶．食慾差．頻尿．腹瀉．消化不良．多汗．心跳加快．肌肉緊繃．注意力不集中．記憶力衰退'],確保睡眠品質及維持睡眠充足，最好能按照正常的人體生理時鐘於11點前就入睡，並睡足六到八小時。
,,,,,,
粉瘤  ,Epidermal cyst,"皮膚科,整形外科,一般外科",皮膚,粉瘤是皮膚病中常見的皮下腫塊疾病之一，只要是成年人都可能誘發。主要因皮脂腺阻塞或外力穿刺傷而形成。特徵為膚色的皮下突起，鼓起的表皮中心常會看到一個小黑孔，有時稍加擠壓，會跑出一些帶酸臭味的粉狀物質，因此又有粉瘤之別稱。粉瘤絕大部分屬於良性，有的明顯隆起於表皮，有的則深埋真皮內，乍看和青春痘很像，但由於粉瘤內含廢棄角質，不像青春痘只是單純的毛囊發炎，所以並不會自行消退，更可能隨時間愈長愈大。最好當發現皮膚一有異狀時，盡早就醫交由專科醫師確診，視粉瘤的大小及嚴重性可採取不同的治療方法，例如局部藥物注射、雷射治療、切開引流、手術摘除等。不過若想要徹底根治，最好還是選擇及早開刀，趁粉瘤愈小的時候開刀處置，疤痕會愈小，復原得也愈快。當粉瘤破時，會有發炎症狀，此時可使用抗生素治療。但沒有發炎的粉療，使用抗生素是無效的。,['皮膚腫塊．觸壓具彈性．分泌物發炎．腫痛．刺痛．化膿．流膿．潰瘍．異味．角質鈣化．纖維化'],平時應避免皮膚受傷，例如不穿太緊的衣褲，過度摩擦皮膚。如果有穿耳洞應多注意後續穿刺傷口的照料，以免誘發粉瘤。
,,,,,,
足底筋膜炎  ,plantar fasciitis,"骨科,復建科","腳底足弓,腳跟",足底筋膜為腳底足弓最主要的支撐，主要功能是吸收足部走路跑步時產生之反作用力。當長時間承受身體重量，足底筋膜被過度牽拉或受壓，就可能引起發炎及退化。最典型的症狀是起床剛下床踩地時，內側足跟感到如針刺般劇烈疼痛，要等到走動一段時間後才慢慢減緩；但之後久站、久坐起來又會痛。以及按壓腳掌內側偏中的地方會痛。這是一種退化性疾病，常變成反覆的慢性疼痛。另有部份年長者以為腳跟長骨刺而疼痛，但其實有骨刺並不一定會造成疼痛。,['小腿緊繃．腳跟疼痛．腳底按壓疼痛'],選擇避震效果好的球鞋跑步。
,,,,,,
溼疹  ,Eczema,"皮膚科,家醫科",皮膚,溼疹是皮膚病的一種，臨床表現在人體表皮及真皮淺層的皮膚發炎，皮膚上會出現水皰、鱗屑、結痂、局部搔癢及燒灼感。溼疹是很常見的皮膚過敏反應，特徵有對稱分布、劇烈搔癢、滲出體液、多形性和重複發作等。大人與小孩均可能罹患，發病的部位不拘，也不太有季節之分，然而較常於冬季時復發或使病情加劇，患者容易演變成慢性病程，時好時壞。,['成片紅斑．皮疹對稱．密集性小丘疹．細微水皰．滲液．糜爛．結痂．鱗屑．鱗屑痂．患部暗紅．色素沉澱．苔蘚化．皮膚搔癢．皮膚變粗厚．皸裂．膿皰．裂傷．皮膚腫脹'],避開過敏原。造成每個人病發溼疹的過敏原也許大不相同，需考慮個別性，在找出可能的原因後，盡量先行避開。
,,,,,,
蕁麻疹  ,Urticaria,"皮膚科,家醫科,風濕過敏免疫科",皮膚,蕁麻疹是皮膚過敏的一種，特徵為皮膚上出現一塊塊紅腫的膨疹，大小形狀不規則；疹塊出現後，伴隨明顯劇烈的發癢感。如果發作時間短於六星期，稱為急性蕁麻疹，若長於六星期則為慢性。除了急性與慢性之分以外，尚有一些特殊類型的蕁麻疹：丘疹性蕁麻疹：對蚊蟲叮咬起過敏反應的蕁麻疹。寒冷性蕁麻疹：受寒冷刺激引發的蕁麻疹。日光性蕁麻疹：由日照引起的蕁麻疹。壓迫性蕁麻疹：由緊身衣物加壓引發的蕁麻疹。,['皮膚充血．皮膚發紅．局部水腫．皮疹．團塊．皮膚發炎．皮膚搔癢．膨疹．組織液滲透．紅斑．紅腫．全身不適．腹痛．腹瀉．頭痛．高燒．畏寒．乏力．血壓下降．關節痛'],用藥前，事先注意藥物可能引起的過敏反應。
,,,,,,
香港腳  ,"Tinea Pedis,Athlete's Foot",皮膚科,"皮膚,足部",香港腳又稱為足癬，是一種常見的足部皮膚病，因溼氣而導致黴菌的感染，好發於夏季，具傳染性，後期可能發展蔓延至患者個人的其他部位，例如腹股溝、腋下等處，亦可能透過接觸傳染他人。醫學上分為三類型：1、水皰型：腳趾間冒發大水皰，夏天最為嚴重，奇癢無比。2、糜爛型：趾間除水皰外尚有紅腫發炎的現象，甚至感染細菌產生化膿潰瘍。3、角化型：足部水皰很少或幾乎沒有，也不發癢，但腳後跟及足緣的皮膚表層不斷角化、脫屑和龜裂。,['足部搔癢．皮膚表層發白．足部水皰．皮屑剝落．足部皸裂．足部糜爛．皮下組織腫脹．足部皮膚角化．足部脫皮．腳臭．足部紅腫'],經常保持足部清潔乾爽，出汗的腳要盡量想辦法保持通風、透氣。
,,,,,,
梅毒  ,Syphilis,"皮膚科,泌尿科,感染科,婦產科","皮膚,生殖器官,全身",梅毒是一種慢性傳染的皮膚病，又可視為性病的一種，因為它通常是經由性交而傳染。病原體為梅毒螺旋體（Treponema Pallidum，蒼白螺旋體，簡稱TP），潛伏期約三星期。第一至第二期的梅毒最具傳染力，不分種族、性別和年齡均可能得病。初期症狀是先在局部皮膚或黏膜發生潰瘍，第二期則好發全身性紅疹，第三期會造成循環系統與中樞神經系統產生病變。由於病程漫長，且會因個體的抵抗力與自體反應機制的不同有所變化，整體的臨床表現帶有非典型特徵，某些個案在感染後甚至可以潛伏多年，終身都無明顯發病，因此，梅毒又有「偉大的模仿家」之別稱。目前梅毒仍是流行於全球，普遍存在的性傳染疾病，與肺結核、痲瘋並列為世界三大慢性傳染病，而在台灣，梅毒被衛生署列為第三類法定傳染病，應於診斷後一週內通報。,['皮膚性潰瘍．硬下疳．生殖器官冒發斑疹．生殖器官冒發丘疹．生殖器官糜爛．生殖器官潰瘍．皮疹．發燒．喉嚨痛．全身乏力．體重減輕．脫髮．頭痛．關節炎．骨骼好發炎性軟瘤．慢性肉芽腫．梅毒腫．神經系統麻痺．噁心．嘔吐'],固定性伴侶。
,,,,,,
淋病  ,Gonorrhea,"皮膚科,泌尿科,婦產科,感染科",生殖器官,淋病與梅毒一樣屬於皮膚性病的其中一種，淋病感染的病原菌全名為奈瑟氏淋病雙球菌（N.Gonorrhoeae，簡稱淋菌），主要是藉由性接觸傳染，潛伏期長短不定，通常臨床症狀會在感染的三天後開始發生，不過如果性生活過度、身體虛弱、加上酗酒抽菸等惡習因素，可能使潛伏期縮短，加速發病。淋病主要影響人類的生殖器官，無論男女，皆會受苦於泌尿系統及生殖系統的發炎、腫痛、化膿、滲出體液等，最後嚴重的還可能蔓延至心臟、肝臟、腎臟或其他臟器，損壞原本的運作功能。淋病也會影響新生胎兒，致使他們併發眼疾失明。目前淋病仍是全球流行的傳染性病，過去二十年來染病人數還有直線上升的趨勢。在台灣，淋病被衛生署列為第三類法定傳染病，應於診斷後一週內通報。,['尿道不適．解尿困難．性交疼痛．頻尿．尿道化膿．尿道口紅腫．血尿．喉嚨痛．吞咽不適．白帶增多．下腹痛'],宣導正確的性教育，改善色情、賣淫、嫖娼及性喜濫交的風氣。
,,,,,,
毛囊炎  ,Folliculitis,"皮膚科,家醫科",皮膚,毛囊炎是體表的毛囊感染細菌所引發的一種化膿性炎症。根據病灶的部位又可分為：髮際瘡（發於頸部髮際）、鬍鬚瘡（發於下頷）、眉間瘡（發於眉間）、坐板瘡（發於臀部）等。小兒最常見於頭部，成人則只要有毛髮的部位都可能引發毛囊炎。一般輕微的毛囊炎，在用消毒水清洗或者塗敷抗生素藥膏於患部，約一至二週就可治癒，不至留下疤痕。,['毛囊性丘疹．丘疹中心有毛髮貫穿．紅疹．疹尖化膿．膿皰．流膿．疤痕．搔癢．疼痛'],注意飲食起居，作息和三餐定時定量，適度的休息，放鬆心情，舒解壓力，睡眠充足。
,,,,,,
肝斑  ,Melasma,"皮膚科,家醫科,美容中心","皮膚,臉",肝斑是一種黑色素沉著斑出現於顏面的皮膚病，好發於女性，也較常見於東方人，通常斑塊會呈現對稱分布，相當好辨識，而名稱的由來則是因為肝斑的顏色為黃褐色或黑褐色，近似肝臟的色澤，並非指這種病就是由於肝功能不好或肝臟欠佳所導致。肝斑依照色素沉澱的程度又可區分為表皮型（發於皮膚較淺層）、真皮型（發於皮膚較深層）及混合型三種。,['顏面色素沉澱．黃褐色斑．灰藍色班．斑塊分布對稱．斑塊邊界清楚．不規則斑狀'],生活作息規律，避免熬夜，保持睡眠充足。
,,,,,,
牛皮癬  ,Psoriasis,"皮膚科,家醫科","皮膚,關節",一種經常反覆發作的皮膚炎症，很難根治，有些患者的病變皮膚會因為復發太多次，或是不當搔抓導致皮膚受傷而變得愈加肥厚、暗紅，患部遂形成皮革狀，有如牛身上的皮膚一般，因而得名。牛皮癬的外觀為粗糙的紅色丘疹或斑塊，表面覆蓋許多銀白色的鱗屑，所以在大陸又有銀屑病的別稱。發病原因主要與遺傳基因有關，不具任何傳染性。,['紅斑．丘疹．脫屑．搔癢．紅色薄膜．點狀出血．乾裂．疼痛．乾癢'],盡量保持心情放鬆，避免過度疲勞，充足的睡眠和休息。
,,,,,,
